loan_id,duration,payments,frequency,balance_mean,balance_count,balance_std,balance_min,negative_balance,type_0_mean,type_0_count,type_0_max,type_0_std,type_1_mean,type_1_max,type_1_min,type_2_mean,type_2_count,type_2_max,type_2_min,type_2_std,sanctions_mean,sanctions_count,sanctions_std,household_mean,household_count,pension_mean,pension_count,pension_std,payment_statement_mean,payment_statement_count,ins_payment_mean,ins_payment_std,credit_cash,credit_cash_mean,credit_cash_min,col_another_bank,col_another_bank_mean,interest,interest_mean,withd_cash_mean,withd_cash_max,rem_another_bank,rem_another_bank_mean,rem_another_bank_std,rem_another_bank_min,credit_card_withd,credit_card_withd_mean,credit_card_withd_max,credit_card_withd_std,mean_trans_profit,credit_ratio,ratio_credit_cash,ratio_col_another_bank,ratio_withd_cash,ratio_rem_another_bank,ratio_credit_card_withd,ratio_interest,owner_count,owner_gender,card_type,has_card,region,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,ratio entrepeneurs,crime_delta,unemploymant_delta,acc_age_on_loan,trans_mth,withdrawal_mth,credit_mth,avg_mth_income,ratio_real_salary_to_expected,ratio_withd_credit_mth,owner_age_on_loan,ratio_max_value_in_account_to_loan,ratio_expected_income_to_payments,real_income_to_payments_ratio,log_sanctions_std,log_ratio_max_value_in_acc_to_loan,status
5314,12,8033,2,12250.0,4,8330.8663014919,1100.0,0.0,5025.0,4,3774.8068383251966,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5025.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5025.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,-1.0,-1.0,7,15,13,8,2,10,0.818,9650,3.38,0.1,-0.0019090410496561618,0.29000000000000004,105,1.1428571428571428,0.0,1435.7142857142858,804.1666666666666,6.248704663212435,0.0,45.986301369863014,0.20851487613593925,0.10010788829412008,0.6255446284078178,0.0,0.18939223067267946,-1
5316,36,4610,1,52083.85945945946,37,29122.059453945632,700.0,0.0,13523.158823529413,17,13998.09222537391,2.9,-9111.266666666666,14855.927047715966,-14.6,-6841.0,2.0,1657.4582951012674,-5669.0,-8013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,17619.53076923077,2.9,0.0,0.0,0.0,0.0,-9711.625,303.4,8.0,-2682.375,1462.7363728398127,-4167.0,0.0,0.0,0.0,0.0,-2429.1078431372534,0.4594594594594595,0.35135135135135137,0.0,0.43243243243243246,0.21621621621621623,0.0,0.0,1,1,-1.0,-1.0,2,48,20,7,3,10,0.735,8369,1.79,0.117,-0.0020938877995546053,0.52,148,7.5,-3233.5675675675675,2741.1808426073135,697.4166666666666,-3.483008019792931,-1.1796257719691026,24.986301369863014,0.7261557001687153,0.15128344179320316,-0.5269214410276037,0.0,0.5458967972651672,1
6863,60,2118,1,30060.954166666666,24,11520.184451043693,800.0,0.0,5009.733333333334,15,6801.234716228965,48.6,-6097.0,5390.565972140588,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2250.0,800.0,5.0,13981.0,0.0,0.0,-3261.3571428571427,139.8,3.0,-2824.3333333333335,4431.462324485376,-7936.0,0.0,0.0,0.0,0.0,-1087.2666666666664,0.625,0.08333333333333333,0.20833333333333334,0.5833333333333334,0.125,0.0,0.0,1,1,-1.0,-1.0,2,85,19,6,1,5,0.535,8390,2.28,0.132,0.0005390351271224508,0.6100000000000003,170,4.235294117647059,-1075.9411764705883,884.0705882352942,699.1666666666666,-1.555089392133492,-1.2170308466185824,57.19178082191781,0.39022977651872837,0.3301070192005036,-0.5133459238275101,0.0,0.329469040328935,1
5325,36,2939,1,41297.48,25,14151.260443037101,1000.0,0.0,9254.6,13,9818.59121827906,132.8,-7168.099999999999,4919.096434028584,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2450.0,1000.0,6.0,19101.333333333332,0.0,0.0,-4748.493333333333,201.3,2.0,-6994.0,0.0,-6994.0,0.0,0.0,0.0,0.0,2086.500000000001,0.52,0.08,0.24,0.6,0.08,0.0,0.0,1,0,-1.0,-1.0,5,69,27,10,1,9,0.748,10045,1.42,0.135,-0.0017390227705052733,0.29000000000000004,185,4.0540540540540535,-1162.3945945945945,1500.745945945946,837.0833333333334,2.492583374813341,-0.7745445508179716,53.323287671232876,0.6228356205814525,0.2848190994669389,0.7099353521605991,0.0,0.48417500218409704,1
7240,60,4579,2,57188.21111111111,27,25256.6658167142,600.0,0.0,21255.930769230767,13,24264.229779532965,77.1,-16801.0,13981.92493625527,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600.0,600.0,6.0,45764.333333333336,0.0,0.0,-12606.994117647058,254.8,3.0,-6584.666666666667,5047.773403524898,-9499.0,0.0,0.0,0.0,0.0,4454.930769230767,0.48148148148148145,0.037037037037037035,0.2222222222222222,0.6296296296296297,0.1111111111111111,0.0,0.0,1,1,-1.0,-1.0,6,38,36,5,1,5,0.505,8288,3.79,0.11,-0.0011790135586559245,0.7299999999999995,204,3.9705882352941178,-2470.7352941176473,3125.872171945701,690.6666666666666,6.450189337689334,-0.7904146933109348,15.008219178082191,0.4473069083497125,0.15083351532357864,0.9729047323063478,0.0,0.3697045249172947,1
6687,24,3660,1,46318.55294117647,17,20670.97738216307,500.0,0.0,7331.9857142857145,14,11713.859081897368,51.3,-19600.0,3815.7568056677824,-15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1300.0,500.0,4.0,24703.75,0.0,0.0,-5233.381818181819,270.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12268.014285714286,0.8235294117647058,0.11764705882352941,0.23529411764705882,0.6470588235294118,0.0,0.0,0.0,2,0,-1.0,-1.0,1,61,22,1,1,2,0.413,8598,2.77,0.123,0.005155690732738636,0.48999999999999977,124,4.112903225806451,-4741.935483870967,1773.8675115207373,716.5,-17.122141361778485,-2.6732185200267318,13.583561643835617,0.7496334244080146,0.19576502732240436,-3.351916471506635,0.0,0.5594062942262991,1
7284,12,4399,1,22198.17906976744,43,6652.642956340846,1000.0,0.0,4304.038095238096,21,3880.5602012436543,43.9,-3152.5363636363636,3848.8507743710493,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6410.928571428572,1000.0,0.0,0.0,0.0,0.0,-2679.6190476190477,121.6,8.0,-1556.5,1123.0317385160072,-2607.0,0.0,0.0,0.0,0.0,1151.501731601732,0.4883720930232558,0.32558139534883723,0.0,0.4883720930232558,0.18604651162790697,0.0,0.0,1,1,-1.0,-1.0,5,22,16,7,1,5,0.519,9045,3.13,0.124,0.0005782706306551466,0.4700000000000002,244,5.286885245901639,-387.60692995529064,529.1850117096019,753.75,1.5276971563538733,-0.7324601441433033,20.59178082191781,0.7855781617034174,0.17134576040009092,0.261764430916511,0.0,0.579742262901244,1
6111,24,7281,1,37485.45625,32,28302.653142986746,1000.0,0.0,13374.85,16,16348.357234046483,77.8,-10260.271428571428,14392.45598982748,-14.6,-6106.5,2.0,3857.267491372617,-3379.0,-8834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19377.272727272728,1000.0,0.0,0.0,0.0,0.0,-7381.390476190477,345.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2991.921428571428,0.5,0.34375,0.0,0.65625,0.0,0.0,0.0,1,0,-1.0,-1.0,7,25,21,6,2,8,0.8,8991,1.39,0.128,0.0006117305449295695,0.6199999999999999,163,5.889570552147239,-3012.2892199824714,2461.628834355828,749.25,-3.9932217932217924,-1.2236975688378882,45.14794520547945,0.6044728288238795,0.10290482076637825,-0.4109217729118841,0.0,0.472795247067191,-1
7235,48,3217,2,46715.8,32,20286.965558464442,8897.0,0.0,11408.987500000001,16,13212.035232815822,13.6,-7287.142857142857,7139.4854679628515,-30.0,-13560.5,2.0,1296.1267299149415,-12644.0,-14477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,18162.2,400.0,0.0,0.0,0.0,0.0,-5828.145454545454,234.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9438.655357142856,0.5,0.3125,0.0,0.6875,0.0,0.0,0.0,1,0,-1.0,-1.0,5,60,13,2,1,4,0.653,8968,2.83,0.131,0.002404560177654564,0.52,176,5.454545454545455,-3553.5754870129867,1944.7137784090912,747.3333333333334,-12.629779692876255,-1.8272999998591333,24.4027397260274,0.5292424360169931,0.2323075328981453,-2.933992961499178,0.0,0.4247724729239516,1
5997,24,4876,1,44131.16923076923,13,19844.247591152816,800.0,0.0,13154.833333333334,9,15275.433395897478,45.1,-16300.0,9971.626413646538,-2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800.0,800.0,4.0,29255.0,0.0,0.0,-8078.3125,208.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3145.166666666666,0.6923076923076923,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.0,0.0,0.0,1,1,-1.0,-1.0,5,69,27,10,1,9,0.748,10045,1.42,0.135,-0.0017390227705052733,0.29000000000000004,137,2.8467153284671536,-3569.3430656934306,2880.6204379562046,837.0833333333334,-3.7572921851667487,-1.239088294543197,58.12876712328767,0.6578582171178562,0.17167418649165983,-0.6450300792999726,0.0,0.50552653865235,1
7121,36,609,1,34272.21333333333,45,10171.03184598745,1100.0,0.0,7551.738095238095,21,7695.526818254627,38.3,-4562.625,4615.538785380081,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13123.041666666666,1100.0,0.0,0.0,0.0,0.0,-2752.964285714286,154.2,5.0,-6262.0,0.0,-6262.0,0.0,0.0,0.0,0.0,2989.1130952380954,0.4666666666666667,0.26666666666666666,0.0,0.6222222222222222,0.1111111111111111,0.0,0.0,2,1,-1.0,-1.0,6,49,70,18,0,9,0.33899999999999997,8743,1.88,0.111,0.001496414971790986,0.5500000000000003,297,4.545454545454545,-460.8712121212121,762.8018278018278,728.5833333333334,4.102637211810265,-0.6041821025118783,33.24657534246575,2.756449553001277,1.196360153256705,4.9082316834779895,0.0,1.3234742434812887,1
6077,24,3317,1,69954.5716981132,53,24870.232927680197,800.0,0.0,23558.29090909091,22,24223.19832425322,110.2,-12885.271428571428,14048.019663912493,-14.6,-17916.333333333332,3.0,6850.56102325447,-10027.0,-22360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800.0,800.0,11.0,46783.09090909091,0.0,0.0,-10040.687804878049,373.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7243.313852813852,0.41509433962264153,0.018867924528301886,0.20754716981132076,0.7735849056603774,0.0,0.0,0.0,1,1,-1.0,-1.0,2,77,26,7,2,7,0.53,8254,2.79,0.097,0.0015055962729390376,0.9699999999999998,313,5.079872204472843,-2952.2304883614784,2257.983154225966,687.8333333333334,-10.530623483615969,-1.307463469262905,23.586301369863012,1.5805660235152246,0.20736609385991359,-2.1836942577069194,0.0,0.9480087638306769,1
6228,60,7742,2,51760.01617647059,68,27848.686707573845,200.0,0.0,16035.558064516128,31,15297.89832863269,42.4,-10339.642857142857,10617.641323530017,-30.0,-13358.0,9.0,7466.752841764618,-2025.0,-23927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22516.045454545456,200.0,0.0,0.0,0.0,0.0,-8869.189130434783,290.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7662.084792626729,0.45588235294117646,0.3235294117647059,0.0,0.6764705882352942,0.0,0.0,0.0,1,0,-1.0,-1.0,4,8,35,12,3,4,0.535,8909,4.01,0.113,0.0008751556767309569,1.5499999999999998,257,7.937743190661479,-2766.261812117843,1871.8550269863185,742.4166666666666,-10.320464419297425,-1.4778184059325987,53.032876712328765,0.2711252475673814,0.09589468698871953,-0.9896777050667436,0.0,0.23990252989156569,-1
