loan_id,payments,frequency,balance_mean,balance_std,balance_min,negative_balance,type_1_mean,type_1_max,type_1_min,type_1_std,type_2_count,type_2_max,pension_mean,pension_count,payment_statement_mean,ins_payment_std,credit_cash,credit_cash_min,col_another_bank,col_another_bank_mean,col_another_bank_std,interest,rem_another_bank,rem_another_bank_mean,rem_another_bank_std,credit_card_withd,credit_card_withd_mean,credit_card_withd_std,ratio_credit_cash,ratio_withd_cash,ratio_credit_card_withd,ratio_interest,owner_count,owner_gender,card_type,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,unemploymant rate '95 ,crime_delta,trans_mth,withdrawal_mth,credit_mth,ratio_withd_credit_mth,owner_age_on_loan,ratio_max_value_in_account_to_loan,ratio_expected_income_to_payments,real_income_to_payments_ratio,status
5314,8033,2,12250.0,8330.8663014919,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,-1.0,13,8,2,10,0.818,3.38,-0.0019090410496561618,1.1428571428571428,0.0,1435.7142857142858,0.0,45.986301369863014,0.20851487613593925,0.10010788829412008,0.6255446284078178,-1
5316,4610,1,49223.17272727273,28912.13940675777,700.0,0.0,-4537.675,6281.194143313833,-14.6,-22800.0,2.0,1657.4582951012674,0.0,0.0,0.0,0.0,11,2.9,0.0,0.0,0.0,0.0,8.0,-2682.375,1462.7363728398127,0.0,0.0,0.0,0.3333333333333333,0.42424242424242425,0.0,0.0,1,1,-1.0,20,7,3,10,0.735,1.79,-0.0020938877995546053,6.689189189189189,-2306.4881756756754,2129.9013513513514,-1.0829084521742218,24.986301369863014,0.7261557001687153,0.15128344179320316,-0.18897216196673883,1
6863,2118,1,30060.954166666666,11520.184451043693,800.0,0.0,-6097.0,5390.565972140588,-66.0,-14800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,800.0,5.0,13981.0,2842.042399402233,0.0,3.0,-2824.3333333333335,4431.462324485376,0.0,0.0,0.0,0.08333333333333333,0.5833333333333334,0.0,0.0,1,1,-1.0,19,6,1,5,0.535,2.28,0.0005390351271224508,4.235294117647059,-1075.9411764705883,884.0705882352942,-1.2170308466185824,57.19178082191781,0.39022977651872837,0.3301070192005036,-0.5133459238275101,1
5325,2939,1,41297.48,14151.260443037105,1000.0,0.0,-7168.099999999999,4919.096434028584,-14.6,-15600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000.0,6.0,19101.333333333332,3599.1169287294165,0.0,2.0,-6994.0,0.0,0.0,0.0,0.0,0.08,0.6,0.0,0.0,1,0,-1.0,27,10,1,9,0.748,1.42,-0.0017390227705052733,4.0540540540540535,-1162.3945945945945,1500.745945945946,-0.7745445508179716,53.323287671232876,0.6228356205814525,0.2848190994669389,0.7099353521605991,1
7240,4579,2,46269.75,17474.683753134388,600.0,0.0,-11928.545454545454,11458.111426964186,-30.0,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,600.0,0.0,0.0,0.0,0.0,3.0,-6584.666666666667,5047.773403524898,0.0,0.0,0.0,0.05555555555555555,0.7777777777777778,0.0,0.0,1,1,-1.0,36,5,1,5,0.505,3.79,-0.0011790135586559245,2.6470588235294117,-1754.197860962567,36.57773109243698,-47.958082925632176,15.008219178082191,0.3381127611560021,0.15083351532357864,-2.550735287861298,1
6687,3660,1,45613.3,21136.6050089097,500.0,0.0,-19600.0,3815.7568056677824,-15200.0,-22000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,500.0,3.0,21959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6875,0.0,0.0,2,0,-1.0,22,1,1,2,0.413,2.77,0.005155690732738636,3.8709677419354835,-4741.935483870967,1297.3287841191066,-3.655153220924461,13.583561643835617,0.7496334244080146,0.19576502732240436,-3.890084068936528,1
7284,4399,1,22198.17906976744,6652.642956340848,1000.0,0.0,-3152.5363636363636,3848.8507743710497,-14.6,-17920.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1000.0,0.0,0.0,0.0,0.0,8.0,-1556.5,1123.0317385160072,0.0,0.0,0.0,0.32558139534883723,0.4883720930232558,0.0,0.0,1,1,-1.0,16,7,1,5,0.519,3.13,0.0005782706306551466,5.286885245901639,-387.60692995529064,529.1850117096019,-0.7324601441433033,20.59178082191781,0.7855781617034174,0.17134576040009092,0.261764430916511,1
6111,7281,1,34538.13214285714,28364.435668280792,1000.0,0.0,-7003.369230769231,7970.295330724851,-14.6,-30800.0,2.0,3857.267491372617,0.0,0.0,0.0,0.0,9,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.6785714285714286,0.0,0.0,1,0,-1.0,21,6,2,8,0.8,1.39,0.0006117305449295695,5.153374233128834,-2412.8593676262385,1280.6361491269465,-1.884109994295544,45.14794520547945,0.6044728288238795,0.10290482076637825,-0.8449040178335605,-1
7235,3217,2,45592.448387096774,19584.48929062437,8897.0,0.0,-7287.142857142857,7139.485467962852,-30.0,-19200.0,2.0,1296.1267299149415,0.0,0.0,0.0,0.0,10,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.6774193548387096,0.0,0.0,1,0,-1.0,13,2,1,4,0.653,2.83,0.002404560177654564,5.284090909090909,-3553.5754870129867,1630.0659090909091,-2.1800195116004986,24.4027397260274,0.5292424360169931,0.2323075328981453,-3.507799043770446,1
5997,4876,1,44131.16923076923,19844.247591152816,800.0,0.0,-16300.0,9971.626413646538,-2100.0,-24000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,800.0,4.0,29255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.6153846153846154,0.0,0.0,1,1,-1.0,27,10,1,9,0.748,1.42,-0.0017390227705052733,2.8467153284671536,-3569.3430656934306,2880.6204379562046,-1.239088294543197,58.12876712328767,0.6578582171178562,0.17167418649165983,-0.6450300792999726,1
